Activity name,Description,Begin timestamp,Duration (h:m:s),Moving duration (h:m:s),Distance (km),Average speed (km/h or min/km),Average moving speed (km/h or min/km),Max. speed (km/h or min/km),Elevation loss uncorrected (m),Elevation gain uncorrected (m),Elevation min. uncorrected (m),Elevation max. uncorrected (m),Min. heart rate (bpm),Max. heart rate (bpm),Average heart rate (bpm),Calories,Avg. cadence (rpm),Max. cadence (rpm),Strokes,Avg. temp (°C),Min. temp (°C),Max. temp (°C),Map,End timestamp,Begin timestamp (ms),End timestamp (ms),Device,Activity type,Event type,Time zone,Begin latitude (°DD),Begin longitude (°DD),End latitude (°DD),End longitude (°DD),Elevation gain corrected (m),Elevation loss corrected (m),Elevation max. corrected (m),Elevation min. corrected (m),Sample count
"Hilton Tunnel Hike","","Sun, 31 May 2020 07:50",03:04:54,00:27:26,"2.05513","13.354700","13.351459","8.547008","","","","","","180","131","245","","","","","","","https://connect.garmin.com/modern/activity/5019175074","Sun, 31 May 2020 10:55","1590925854000","1590936948000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","39.252888","-76.760076","39.251728","-76.756217","114.04","115.06","103.5","20.12",""
"Soapstone trail","","Sat, 30 May 2020 15:10",02:15:34,01:44:11,"7.65346","17.711654","13.612579","6.179705","","","","","","184","138","1033","","","","","","","https://connect.garmin.com/modern/activity/5015288976","Sat, 30 May 2020 17:25","1590865803000","1590873937000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","39.244692","-76.719180","39.244540","-76.719154","224.7","224.49","94.36","11.24",""
"Red Run  Trail Hike","","Wed, 27 May 2020 14:48",00:19:33,00:12:36,"0.88829","22.016731","14.184557","11.526049","","","","","","182","138","187","","","","","","","https://connect.garmin.com/modern/activity/5015287633","Wed, 27 May 2020 15:08","1590605315000","1590606488000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","39.415385","-76.821156","39.411588","-76.814179","","6.82","167.56","158.0",""
"Baltimore County Cycling","","Sun, 24 May 2020 10:22",00:12:51,00:12:32,"4.30765","20.120400","20.621728","35.369999","","","","","","187","163","155","","","","","","","https://connect.garmin.com/modern/activity/4984062105","Sun, 24 May 2020 10:35","1590330155000","1590330926000","Forerunner 235 8.10.0.0","cycling","uncategorized","+20:00","39.438719","-76.818966","39.411944","-76.797903","7.04","49.58","214.0","167.53",""
"Cascade falls loop trail","","Sat, 23 May 2020 09:55",01:54:58,01:05:46,"5.16811","20.153163","12.725477","7.319572","","","","","","187","148","928","","","","","","","https://connect.garmin.com/modern/activity/4980057314","Sat, 23 May 2020 11:50","1590242103000","1590249001000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","39.241033","-76.751090","39.242163","-76.751495","180.09","201.94","108.93","-22.6",""
"Number nine trolley trail hike","","Sun, 17 May 2020 10:48",02:00:03,01:29:42,"7.01151","16.835016","12.793250","6.844627","","","","","","175","135","851","","","","","","","https://connect.garmin.com/modern/activity/4948345583","Sun, 17 May 2020 12:48","1589726901000","1589734104000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","39.268106","-76.792109","39.268121","-76.793541","108.67","113.08","130.28","45.93",""
"Loch Raven reservoir Hike","","Sat, 16 May 2020 10:08",01:29:15,01:06:17,"4.84088","18.416206","13.692414","6.616382","","","","","","182","147","885","","","","","","","https://connect.garmin.com/modern/activity/4942569963","Sat, 16 May 2020 11:37","1589638088000","1589643443000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","39.464201","-76.575275","39.464370","-76.574053","63.78","69.81","99.45","72.0",""
"Thru Trail Alberta road hike","","Fri, 15 May 2020 13:48",01:15:17,01:00:19,"5.29671","14.208582","11.387572","5.817335","","","","","","201","169","939","","","","","","","https://connect.garmin.com/modern/activity/4937205512","Fri, 15 May 2020 15:03","1589564918000","1589569435000","Forerunner 235 8.0.0.0","hiking","uncategorized","+20:00","39.314856","-76.792944","39.315343","-76.793261","78.35","79.55","93.49","66.04",""
"Daniels' loop and Old main line trail","","Sun, 10 May 2020 09:52",01:08:48,00:47:54,"4.44075","15.489467","10.786466","4.125412","","","","","","201","154","748","","","","","","","https://connect.garmin.com/modern/activity/4913926466","Sun, 10 May 2020 11:00","1589118731000","1589122859000","Forerunner 235 8.0.0.0","hiking","uncategorized","+20:00","39.312587","-76.818426","39.313697","-76.815758","88.18","117.08","131.56","72.05",""
"Red Run Hike","","Thu, 02 Apr 2020 09:50",00:37:18,00:35:53,"4.04875","9.213193","8.862817","4.283388","","","","","","200","177","509","","","","","","","https://connect.garmin.com/modern/activity/4744023266","Thu, 02 Apr 2020 10:27","1585835403000","1585837641000","Forerunner 235 8.0.0.0","hiking","uncategorized","+20:00","39.411689","-76.814084","39.412853","-76.816331","43.87","43.54","199.92","158.24",""
"Dynamic","","Thu, 19 Mar 2020 21:44",00:00:05,"","","","","","","","","","","103","102","","","","","","","","https://connect.garmin.com/modern/activity/4744022794","Thu, 19 Mar 2020 21:44","1584668680000","1584668685000","Forerunner 235 8.0.0.0","other","uncategorized","+20:00","","","","","","","","",""
"Southborough Dynamic","","Mon, 02 Mar 2020 02:00",00:00:16,00:00:15,"0.01127","2.541599","2.540513","","","","","","","91","90","","","","","","","","https://connect.garmin.com/modern/activity/4744022726","Mon, 02 Mar 2020 02:00","1583132443000","1583132459000","Forerunner 235 8.0.0.0","other","uncategorized","+19:00","42.302375","-71.516959","42.302309","-71.516981","","","85.15","73.2",""
"Dynamic","","Sun, 01 Mar 2020 16:31",00:00:06,"","","","","","","","","","","94","93","","","","","","","","https://connect.garmin.com/modern/activity/4744022638","Sun, 01 Mar 2020 16:32","1583098317000","1583098323000","Forerunner 235 8.0.0.0","other","uncategorized","+19:00","","","","","","","","",""
"Thru trail Patapsco state park hike","","Tue, 21 Jan 2020 14:52",01:12:30,01:10:07,"7.42378","9.763717","9.444874","5.032206","","","","","","206","168","903","","","","","","","https://connect.garmin.com/modern/activity/4463711332","Tue, 21 Jan 2020 16:04","1579636325000","1579640675000","Forerunner 235 8.0.0.0","trail_running","uncategorized","+19:00","39.331224","-76.870368","39.330952","-76.870719","130.94","130.33","122.63","72.18",""
"Pine Trident Hike","","Sun, 19 Jan 2020 11:17",01:15:32,01:08:13,"5.50095","13.728720","12.400887","5.837711","","","","","","167","126","545","","","","","","","https://connect.garmin.com/modern/activity/4456028165","Sun, 19 Jan 2020 12:32","1579450625000","1579455157000","Forerunner 235 8.0.0.0","hiking","uncategorized","+19:00","39.448964","-76.896915","39.448886","-76.896798","80.29","87.2","176.19","128.43",""
"Baltimore County Other","","Sat, 18 Jan 2020 12:20",00:15:30,00:15:30,"1.74893","8.865248","8.862561","6.447453","","","","","","175","149","171","","","","","","","https://connect.garmin.com/modern/activity/4452119510","Sat, 18 Jan 2020 12:36","1579368043000","1579368973000","Forerunner 235 8.0.0.0","walking","uncategorized","+19:00","39.446836","-76.820222","39.446933","-76.819463","","1.87","202.16","198.01",""
"Baltimore County Running","","Sat, 18 Jan 2020 11:56",00:23:23,00:22:55,"3.43595","6.723140","6.672482","3.841130","","","","","","205","180","323","","","","","","","https://connect.garmin.com/modern/activity/4452119291","Sat, 18 Jan 2020 12:19","1579366594000","1579367997000","Forerunner 235 8.0.0.0","running","uncategorized","+19:00","39.446943","-76.819023","39.447297","-76.819803","2.51","1.1","206.2","198.62",""
"Baltimore County Running","","Sat, 11 Jan 2020 19:22",00:29:07,00:29:06,"2.28723","12.732365","12.726653","10.629251","","","","","","156","128","254","","","","","","","https://connect.garmin.com/modern/activity/4426991379","Sat, 11 Jan 2020 19:51","1578788558000","1578790305000","Forerunner 235 8.0.0.0","walking","uncategorized","+19:00","39.438339","-76.817667","39.439332","-76.819298","12.2","12.2","214.0","209.47",""
